industry_code,industry_name,sa2_code,sa2_name,non_employing,1_to_4_employees,5_to_19_employees,20_to_199_employees,200_to_more_employees,total
A,"Agriculture, Forestry and Fishing",101021007,Braidwood,241,48,7,0,0,296
A,"Agriculture, Forestry and Fishing",101021008,Karabar,7,0,3,0,0,9
A,"Agriculture, Forestry and Fishing",101021009,Queanbeyan,11,3,0,0,0,15
A,"Agriculture, Forestry and Fishing",101021010,Queanbeyan - East,3,0,0,0,0,3
A,"Agriculture, Forestry and Fishing",101021012,Queanbeyan West - Jerrabomberra,14,3,0,0,0,16
A,"Agriculture, Forestry and Fishing",101021610,Googong,0,0,0,0,0,3
A,"Agriculture, Forestry and Fishing",101021611,Queanbeyan Surrounds,257,55,12,3,0,327
A,"Agriculture, Forestry and Fishing",101031013,Bombala,164,63,14,5,0,246
A,"Agriculture, Forestry and Fishing",101031014,Cooma,57,26,12,0,0,96
A,"Agriculture, Forestry and Fishing",101031015,Cooma Surrounds,166,62,22,0,0,251
A,"Agriculture, Forestry and Fishing",101031016,Jindabyne - Berridale,88,46,25,3,0,160
A,"Agriculture, Forestry and Fishing",101041017,Batemans Bay,17,12,3,3,0,33
A,"Agriculture, Forestry and Fishing",101041018,Batemans Bay - South,12,0,0,0,0,13
A,"Agriculture, Forestry and Fishing",101041019,Bega - Tathra,52,20,4,0,0,77
A,"Agriculture, Forestry and Fishing",101041020,Bega-Eden Hinterland,257,60,14,0,0,331
A,"Agriculture, Forestry and Fishing",101041021,Broulee - Tomakin,3,6,0,3,0,10
A,"Agriculture, Forestry and Fishing",101041022,Deua - Wadbilliga,3,0,0,0,0,3
A,"Agriculture, Forestry and Fishing",101041023,Eden,26,9,6,0,0,42
A,"Agriculture, Forestry and Fishing",101041024,Eurobodalla Hinterland,47,13,8,0,0,68
A,"Agriculture, Forestry and Fishing",101041025,Merimbula - Tura Beach,38,26,7,3,0,73
A,"Agriculture, Forestry and Fishing",101041026,Moruya - Tuross Head,47,10,3,0,0,60
A,"Agriculture, Forestry and Fishing",101041027,Narooma - Bermagui,51,22,0,0,0,74
A,"Agriculture, Forestry and Fishing",101051539,Goulburn,114,27,10,0,0,153
A,"Agriculture, Forestry and Fishing",101051540,Goulburn Surrounds,741,261,65,7,0,"1,074"
A,"Agriculture, Forestry and Fishing",101061541,Yass,79,40,7,3,0,127
A,"Agriculture, Forestry and Fishing",101061542,Yass Surrounds,478,189,55,6,0,728
A,"Agriculture, Forestry and Fishing",101061543,Young,182,49,24,10,0,265
A,"Agriculture, Forestry and Fishing",101061544,Young Surrounds,377,173,62,12,0,624
A,"Agriculture, Forestry and Fishing",102011028,Avoca Beach - Copacabana,5,0,0,0,0,6
A,"Agriculture, Forestry and Fishing",102011029,Box Head - MacMasters Beach,13,4,0,0,0,17
A,"Agriculture, Forestry and Fishing",102011030,Calga - Kulnura,129,65,17,4,0,215
A,"Agriculture, Forestry and Fishing",102011031,Erina - Green Point,19,6,3,0,0,27
